account,last_name,middle_name,name
view-only,qerry,,tatum
client.qa,robin,,tatum
cristian.qa,robin,,tatum
master.qa,robin,,tatum
pri-lowlevel,robin,,tatum
view-only,robin,,tatum
cristian.qa,buff,,"jeff "
execute,buff,,"jeff "
master.qa,buff,,"jeff "
prathipc,buff,,"jeff "
priya.qa,buff,,"jeff "
view-only,buff,,"jeff "
cristian.qa,buff,,jeff
execute,buff,,jeff
master.qa,buff,,jeff
pri-lowlevel,buff,,jeff
cory.qa,Smith,,Sam
cristian.qa,Smith,,Sam
esther.qa,Smith,,Sam
master.qa,Smith,,Sam
Max,Smith,,Sam
ricardo.qa,Smith,,Sam
cory.qa,Edwards,,Jack
cristian.qa,Edwards,,Jack
curriculum,Edwards,,Jack
executeonly,Edwards,,Jack
highlevel,Edwards,,Jack
master.qa,Edwards,,Jack
mediumlevel,Edwards,,Jack
usermanager,Edwards,,Jack
viewonly,Edwards,,Jack
cory.qa,Aquarium,,Dummy
cristian.qa,Aquarium,,Dummy
dummy,Aquarium,,Dummy
master.qa,Aquarium,,Dummy
ybendek.qa,Aquarium,,Dummy
cory.qa,Pato,,Archive
cory.qa,Pato,,Inactivate
cory.qa,Aquarium,,Dummy1
cristian.qa,Aquarium,,Dummy1
master.qa,Aquarium,,Dummy1
test.aquarium1,Aquarium,,Dummy1
cristian.qa,Aquarium,,Dummy2
master.qa,Aquarium,,Dummy2
test.aquarium2,Aquarium,,Dummy2
cristian.qa,test,,maintenance
dana.qa,test,,maintenance
master.qa,test,,maintenance
cory.qa,Daniels,,Patrick
cristian.qa,Daniels,,Patrick
dana.qa,Daniels,,Patrick
executeonly,Daniels,,Patrick
guardian,Daniels,,Patrick
highlevel,Daniels,,Patrick
lowlevel,Daniels,,Patrick
master.qa,Daniels,,Patrick
mediumlevel,Daniels,,Patrick
Pato,Daniels,,Patrick
cory.qa,Jones,,Thomas
cristian.qa,Jones,,Thomas
dana.qa,Jones,,Thomas
executeonly,Jones,,Thomas
highlevel,Jones,,Thomas
master.qa,Jones,,Thomas
Max,Jones,,Thomas
Pato,Jones,,Thomas
12345,Smith,,Client
assessment,Smith,,Client
christine,Smith,,Client
cory.qa,Smith,,Client
cristian.qa,Smith,,Client
master.qa,Smith,,Client
parent,Smith,,Client
cory.qa,TALKINGTHEATER,,Dummy
cristian.qa,TALKINGTHEATER,,Dummy
master.qa,TALKINGTHEATER,,Dummy
cory.qa,More,,Learn
learnmore,More,,Learn
master.qa,More,,Learn
cory.qa,Ryan,,Jenny
Max,Ryan,,Jenny
cory.qa,Ryan,,Jenny
cristian.qa,Ryan,,Jenny
master.qa,Ryan,,Jenny
Max,Ryan,,Jenny
"user 1",Ryan,,Jenny
cory.qa,Clavin,,Clifford
cory.qa,Testing,,Client
cory.qa,James,,Justin
cristian.qa,James,,Justin
master.qa,James,,Justin
Max,James,,Justin
cristian.qa,Morgan,,Jackson
georgejohnson,Morgan,,Jackson
master.qa,Morgan,,Jackson
Max,Morgan,,Jackson
CCAbeta,Tester,,Holland
cristian.qa,Tester,,Holland
juan.qa,Tester,,Holland
master.qa,Tester,,Holland
christine,Johnson,,Gladys
cristian.qa,Johnson,,Gladys
cristian.qa,Finnigan,,Kristyn
sam.qa,Finnigan,,Kristyn
cristian.qa,Smith,,John
myriam.qa,Smith,,John
CCAbeta,Tester,,AI
cristian.qa,Tester,,AI
CCAbeta,Tester,,PTI
cory.qa,Tester,,PTI
cristian.qa,Tester,,PTI
cory.qa,Spiers,,Johnna
cristian.qa,Spiers,,Johnna
cory.qa,McVey,,Tessa
cristian.qa,McVey,,Tessa
georgejohnson,McVey,,Tessa
Max,McVey,,Tessa
usermanager,McVey,,Tessa
georgejohnson,Bishop,James,Bryan
cristian.qa,Mosher,,Samantha
Max,Mosher,,Samantha
cory.qa,Reader,,Dare
cristian.qa,Reader,,Dare
lowlevel,Reader,,Dare
cory.qa,Smith,,Jennifer
cristian.qa,Smith,,Jennifer
cory.qa,Instrument,,Autism
cristian.qa,Instrument,,Autism
cory.qa,Tester,,Ipad
juan.qa,Paula,,Maria
lowlevel1,Paula,,Maria
lowlevel2,Paula,,Maria
master.qa,Paula,,Maria
cory.qa,Demo,,Aquarium
deni,Demo,,Aquarium
demo.socky1,Johns,,Samuel
demo.socky4,Johns,,Samuel
demo.socky1,test-last-name,,test-name
demo.socky2,test-last-name,,test-name
demo.socky4,test-last-name,,test-name
demo.socky1,test,,John
demo.socky1,Israel,,John
Demo.Socky3,Israel,,John
demo.socky4,Israel,,John
demo.socky1,Simpson,,Joseph
demo.socky4,Simpson,,Joseph
demo.socky1,James,,Nitin
Demo.Socky3,James,,Nitin
demo.socky4,James,,Nitin
demo.socky1,demo1,,Kid1
Demo.Socky3,demo1,,Kid1
demo.socky5,demo1,,Kid1
demo.socky1,Nameson,,Kido
Demo.Socky3,Demo2,,Kid2
demo.Socky6,Demo2,,Kid2
demo.Socky6,deomo3,,kid3
demo.socky7,Demo.kid1,,Kid1
cory.qa,Client,,New
executeonly,Client,,New
Demo.Socky3,"Demo 1803",,Kid1803
demo.Socky6,"Demo 1803",,Kid1803
demo.Socky6,"Demo 2003",,Kid2003
demo.socky10,Smith,,Johnny
demo.socky11,Smith,,Johnny
